id,link,name,status,lat,lng,year,first,area,population
181,Козловка (Бутурлиновский район),Козловка,Село,50.86389,40.45972,,,,2785
182,Колодеевка (Бутурлиновский район),Колодеевка,Село,50.854261,41.003649,,,,30
183,Комсомольский (Бутурлиновский район),Комсомольский,Посёлок,50.84778,40.29611,,,,6
184,Круглый (Воронежская область),Круглый,Посёлок,50.905,40.54722,,,"0,1349 км²",
185,Кучеряевка (Воронежская область),Кучеряевка,Село,50.8783917,40.913525,,,,693
186,Макогоново,Макогоново,Село,50.9293417,40.8169139,,,,93
187,Малый Кисляй,Малый Кисляй,Посёлок,50.86861,40.13,,,,25
188,Марьевка (Бутурлиновский район),Марьевка,Село,50.794263,40.503102,,,,8
189,Масычево (Воронежская область),Масычево,Село,50.7232,40.7400083,,,,68
190,Нижний Кисляй,Нижний Кисляй,Посёлок городского типа,50.85528,40.17972,XVII век,,"9,86 км²",3241
191,Отрадное (Бутурлиновский район),Отрадное,Село,50.88806,40.56861,,,"0,8933 км²",3
192,Патокино (Воронежская область),Патокино,Село,50.8009806,40.7901333,,,,80
193,Пирамиды (село),Пирамиды,Село,50.859809,40.301822,,,,4
194,Пузево (Воронежская область),Пузево,Село,50.66,40.39333,,,,977
195,Рахмановка (Воронежская область),Рахмановка,Хутор,50.82611,40.325,,,,
196,Сериково,Сериково,Село,50.9532306,40.8699417,,,,35
197,Толучеево,Толучеево,Село,50.844916,41.032489,,,,6
198,Тюниково,внутреннее деление,Село,50.86887,40.721832,,,,28
199,Ударник (Воронежская область),Ударник,Село,50.92167,40.72361,,,,90
200,Филиппенково,Филиппенково,Село,50.74222,40.74778,,,,15
201,Чернавка (Бутурлиновский район),Чернавка,Деревня,50.6829083,40.3863861,,,,47
202,Чулок (Воронежская область),Чулок,Село,50.9362861,40.6534917,,,,10
203,Верхний Мамон,Верхний Мамон,Село,50.16778,40.39667,в 1702 году,1653,,8561
204,Гороховка (Верхнемамонский район),Гороховка,Село,50.1070861,40.194833,1702,,"17,5 км²",1142
205,Дерезовка (Воронежская область),Дерезовка,Село,50.0768389,40.3026722,,,,25
206,Донской (Воронежская область),Донской,Хутор,50.0878861,40.1856,,,,2
207,Красноярский (Воронежская область),Красноярский,Хутор,50.23417,40.40611,,,,
208,Лукьянчиков (хутор),Лукьянчиков,Хутор,50.099914,40.572616,,,, человек (2010
209,Мамоновка (Воронежская область),Мамоновка,Село,50.39444,40.5,1787,1795,,533
210,Нижний Мамон,Нижний Мамон,Село,50.17,40.5,,,,3564
211,Ольховатка (Верхнемамонский район),Ольховатка,Село,50.17195,40.0992111,1712,,,792
212,Оробинский,Оробинский,Хутор,50.03639,40.2288583,,,,74
213,Осетровка (Воронежская область),Осетровка,Село,50.1435167,40.4698722,,,,686
214,Приречное (Воронежская область),Приречное,Село,50.2181972,40.4696833,,,,636
215,Русская Журавка,Русская Журавка,Село,50.3525528,40.54985,,,,1423
216,Абрамовка (Верхнехавский район),Абрамовка,Деревня,51.91694,40.06889,,,,23
217,Александровка (Верхнехавский район),Александровка,Село,51.83806,40.32889,,,,285
218,Андреевка 1-я,Андреевка 1-я,Деревня,51.75944,39.86528,,,,72
219,Беловка (Воронежская область),Беловка,Село,51.90833,39.79,,,,154
220,Большая Михайловка (Воронежская область),Большая Михайловка,Посёлок,51.90139,40.0225,,,,23
221,Большая Приваловка,Большая Приваловка,Село,51.89833,39.75194,,,,582
222,Васильевка 1-я (Воронежская область),Васильевка 1-я,Село,51.781445,40.101585,,,,337
223,Васильевка 2-я,Васильевка 2-я,Посёлок,51.84361,40.28111,,,,11
224,Верхняя Байгора,Верхняя Байгора,Село,51.9199889,39.868475,,,,396
225,Верхняя Луговатка,Верхняя Луговатка,Село,51.96444,40.09889,,,,576
226,Верхняя Маза (Воронежская область),Верхняя Маза,Посёлок,51.81472,40.15194,,,,448
